Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-09-28,45.4413,45.6326,45.1734,45.2499,330394.81457131
2016-09-29,45.1734,45.4317,44.7525,45.336,176842.62893157
2016-09-30,45.3456,45.4795,44.3985,44.3985,262088.30645464
2016-10-03,44.9629,45.0108,44.4081,44.896,101528.39531656
2016-10-04,44.9629,46.3501,44.9534,46.0631,386666.72488632
2016-10-05,46.2449,46.3788,44.9151,45.0203,177066.32422641
2016-10-06,44.9629,45.9866,44.7716,45.5369,125993.76155888
2016-10-07,45.6709,47.2589,45.5848,47.1633,460275.02055185
2016-10-10,47.3546,47.4216,46.4936,46.6084,175794.18790012
2016-10-11,46.5606,47.0676,45.9196,46.1109,169616.43466397
2016-10-12,46.1109,47.1154,45.9674,46.3023,169343.61002866
2016-10-13,46.0344,46.331,45.183,45.7283,280634.10982448
2016-10-14,45.7283,46.3405,44.9629,44.9629,234882.1501979
2016-10-17,45.0586,45.2117,43.8628,43.8628,192744.8556628
2016-10-18,44.1785,44.7525,43.681,44.7142,248114.66766261
2016-10-19,43.6236,44.9534,43.6236,44.102,343539.52640626
2016-10-20,44.1976,45.4508,44.1976,45.2021,189726.0144875
2016-10-21,45.2021,46.0918,44.9151,44.9725,255406.71615253
2016-10-24,45.2308,46.3979,44.9629,46.2544,269987.677217
2016-10-25,46.2544,47.0676,45.7857,46.7423,310864.3337821
2016-10-26,46.771,46.771,44.0637,46.3214,248827.56575179
2016-10-27,46.1109,47.1059,45.4126,45.8048,230526.36377911
2016-10-28,46.1492,46.6275,45.1447,46.3788,128618.52270541
2016-10-31,46.3788,46.5414,45.0108,45.1064,251953.02804893
2016-11-02,44.9629,45.2595,43.8819,43.8819,320028.52373494
2016-11-03,43.9106,44.1211,42.38,42.667,613751.94422323
2016-11-04,42.5713,42.5713,41.806,42.1886,768236.54202653
2016-11-07,42.5713,42.9444,42.2365,42.9253,998244.43446806
2016-11-08,43.0496,43.2218,42.6478,43.0305,316052.1830733
2016-11-09,42.093,42.9444,41.806,42.667,717624.9589152
2016-11-10,43.1166,43.6236,42.5713,42.5904,271560.86141674
2016-11-14,43.5088,43.5088,41.9016,41.9495,291102.84056222
2016-11-15,42.0164,42.4182,41.9016,42.093,89469.755497231
2016-11-16,42.093,42.3226,41.2989,41.3276,371374.95634289
2016-11-17,41.1363,41.6146,40.7824,41.1363,288229.29679807
2016-11-18,40.6676,40.9545,39.8257,40.371,244991.29597571
2016-11-21,40.2753,41.1363,39.797,40.2084,231359.47195665
2016-11-22,40.658,41.3755,40.3327,41.3755,221839.87826432
2016-11-23,40.8111,41.7964,40.8111,41.6816,250250.2260148
2016-11-24,41.8442,42.0547,41.3276,42.0547,172526.56410719
2016-11-25,42.093,42.8105,41.6912,42.8105,468639.55209088
2016-11-28,42.667,42.6861,41.9016,42.1504,197815.630781
2016-11-29,42.1504,42.5426,41.7007,42.093,497873.60027285
2016-11-30,42.2843,42.7148,41.9973,42.7148,372431.75981527
2016-12-01,42.3895,42.4469,42.093,42.2652,300130.09554486
2016-12-02,42.4087,42.4182,41.1459,41.4233,243073.16108766
2016-12-05,42.2365,43.3271,41.6625,43.3271,140344.75549782
2016-12-06,43.5184,45.3839,43.4227,45.3839,610798.95727025
2016-12-07,45.7283,45.8239,44.9629,45.4221,420203.24892616
2016-12-08,50.0332,52.2144,48.8948,49.8897,2816858.958323
2016-12-09,50.4159,50.4159,48.3208,49.4879,1323751.4023165
2016-12-12,49.4114,49.7462,48.7991,49.5645,869034.26906694
2016-12-13,49.5549,49.6697,48.4069,49.0957,318254.64095292
2016-12-14,49.2679,49.354,48.8374,48.8565,399631.64424131
2016-12-15,49.2009,49.6219,48.8374,49.1722,564855.70680742
2016-12-16,49.2679,49.6793,48.7417,48.7417,830502.23187726
2016-12-19,48.6078,48.847,47.6416,48.2156,390581.39254611
2016-12-20,48.713,49.1435,48.6748,49.1053,487181.17424026
2016-12-21,49.2392,50.0619,49.1148,49.7462,4225100.2825636
2016-12-22,49.5549,51.009,49.5071,50.7029,1878318.1708661
2016-12-23,50.7029,51.8509,50.6933,51.8031,878276.8569035
2016-12-27,51.8987,51.8987,51.5256,51.8318,71071.340148755
2016-12-28,51.6022,52.1379,51.1908,52.1379,734823.3639904
2016-12-29,52.0231,52.6162,51.4204,52.6162,730853.29515945
2016-12-30,53.0945,53.1902,51.6213,51.8413,756024.24235514
2017-01-02,51.9657,52.1379,51.5161,51.9561,142415.50493281
2017-01-03,51.9466,53.2667,51.8892,52.7597,782555.13150687
2017-01-04,52.7597,54.3382,52.7597,54.1947,573975.99394539
2017-01-05,54.2425,55.1992,53.7546,55.1992,496341.18297265
2017-01-09,55.3905,55.888,55.2375,55.5149,603686.7012603
2017-01-10,55.4862,57.2082,55.2949,56.682,436284.22283224
2017-01-11,56.9212,57.2082,56.2802,57.2082,817840.45100594
2017-01-12,57.1125,57.6387,56.5385,57.256,1273298.7055828
2017-01-13,57.3517,57.3517,55.6775,57.0551,355005.47822477
2017-01-16,57.0455,57.1029,56.395,56.7394,550787.99055495
2017-01-17,56.7777,56.9212,56.1846,56.5385,382103.96805454
2017-01-18,56.4524,56.4811,55.1322,55.4958,262578.55455409
2017-01-19,55.4001,56.5385,55.1418,56.5385,290503.8807307
2017-01-20,56.5385,57.8109,55.8689,57.4856,357415.95182249
2017-01-23,57.2177,57.3899,56.5002,56.8159,143174.3964471
2017-01-24,56.5385,57.1603,55.4479,57.0742,227138.52989783
2017-01-25,57.3899,60.4799,57.3804,59.8007,793777.52723332
2017-01-26,60.0686,60.1356,58.9302,59.265,372886.46754077
2017-01-27,59.265,59.5424,58.2701,58.5953,249004.22231641
2017-01-30,58.6432,59.1693,57.6482,57.7343,178809.89316007
2017-01-31,57.6769,58.911,56.9403,58.3562,514081.05609798
2017-02-01,58.5475,59.0928,58.4805,59.0737,409548.45387775
2017-02-02,59.0928,59.1215,57.9735,58.0692,327661.34169271
2017-02-03,58.0692,59.1024,58.0692,58.9206,277828.51089287
2017-02-06,58.9206,59.0545,58.2127,58.6432,229403.70608442
2017-02-07,58.4518,59.6381,58.2988,59.3033,271849.36562878
2017-02-08,59.3128,59.5711,58.8345,59.5711,213723.08403781
2017-02-09,59.8486,63.9431,59.7433,63.5126,480675.19519766
2017-02-10,63.5126,65.3015,62.2593,63.5126,639627.42706717
2017-02-13,63.5317,64.6701,62.9003,64.4788,224404.01171412
2017-02-14,64.4788,64.4788,62.6994,63.1395,273633.70146196
2017-02-15,63.1395,64.0483,61.9915,62.0871,255392.0818809
2017-02-16,62.1828,62.6994,61.427,62.1828,392916.60417548
2017-02-17,62.5176,62.862,60.4895,61.6662,420795.93692698
2017-02-20,61.2453,62.8046,61.0157,62.8046,129119.22385602
2017-02-21,62.7568,63.216,61.9341,63.1395,240373.13797278
2017-02-22,63.1395,63.4265,62.5655,63.1203,192762.62584977
2017-02-23,63.1203,64.4788,62.7281,63.3882,230011.02835688
2017-02-24,64.0005,64.3735,62.2306,63.7135,163457.49691991
2017-02-27,63.9622,64.0961,62.1924,62.3741,181222.45736802
2017-02-28,62.7568,62.8046,60.2695,62.5846,341592.12297497
2017-03-01,62.5846,65.0336,62.2785,65.0241,230685.25015676
2017-03-02,65.0528,65.7033,63.857,65.3111,320610.75868461
2017-03-03,65.0528,65.0528,62.7568,62.9194,256042.26166311
2017-03-06,62.929,63.7135,61.5131,61.8862,170582.29659124
2017-03-07,62.7568,62.7568,59.9825,60.3651,206495.84446509
2017-03-08,59.5042,63.1203,59.3128,63.1203,221107.11937794
2017-03-09,64.6701,65.7703,61.3792,62.4698,565170.34364737
2017-03-10,62.6707,66.526,62.6707,66.2773,574526.86974158
2017-03-13,66.2773,69.8361,65.2919,69.8361,656099.34508667
2017-03-14,69.8361,71.6537,68.9081,68.9081,600473.43333341
2017-03-15,68.6881,69.8265,67.9228,68.8507,257502.55291031
2017-03-16,69.8361,71.692,69.6926,71.2041,397248.3485766
2017-03-17,71.5868,73.1748,71.2328,71.9886,775295.48747556
2017-03-20,72.419,72.706,71.3954,71.7398,231197.44966365
2017-03-21,71.7494,73.5575,70.4101,71.4911,320604.48685391
2017-03-22,71.3093,71.4911,69.1664,69.9317,284806.96784795
2017-03-23,69.9317,71.405,69.6543,70.4101,270205.10068115
2017-03-24,70.1231,71.4528,70.1231,70.9554,143469.17248984
2017-03-27,70.7927,70.7927,69.396,69.7404,128665.56143563
2017-03-28,69.9604,71.2232,69.7117,70.3814,232111.04633512
2017-03-29,70.4962,71.6537,68.5159,69.1568,246201.75930015
2017-03-30,69.2525,69.5491,66.7461,67.9132,270852.14454802
2017-03-31,67.1192,69.176,67.1192,68.3819,244762.37415528
2017-04-03,69.2047,69.6352,67.454,69.0612,137575.74224527
2017-04-04,69.0612,70.9554,68.3532,68.8603,176327.29350933
2017-04-05,68.8794,70.7449,68.8794,69.6734,235561.59852337
2017-04-06,69.176,69.8361,68.4106,69.6447,119990.57427712
2017-04-07,69.1186,69.9317,68.6881,69.0229,92573.266386932
2017-04-10,69.3577,69.3577,67.8271,68.4011,78013.211424775
2017-04-11,67.9132,67.9228,65.5311,66.8609,178054.13756113
2017-04-12,66.8609,67.2722,65.7703,66.3443,130978.82165756
2017-04-13,66.6791,66.8609,66.0094,66.5643,142392.50822026
2017-04-18,66.9661,68.0089,66.9661,67.7219,356467.86008219
2017-04-19,67.7793,67.9897,66.8704,67.7984,491318.49188979
2017-04-20,68.2576,70.7832,68.1332,69.6734,296198.70300321
2017-04-21,69.8265,70.5344,67.7506,68.0184,273118.36603972
2017-04-24,68.9846,70.0083,67.8941,68.7742,214865.6025297
2017-04-25,69.2812,71.4528,69.0133,70.9841,315093.63828184
2017-04-26,71.2711,71.6346,70.8214,71.6155,282586.73978136
2017-04-27,71.6059,72.1225,70.9841,71.4528,181049.98202387
2017-04-28,71.4433,71.7016,70.8406,71.3572,129422.36233969
2017-05-02,72.132,74.0549,71.5581,73.6531,281289.51613228
2017-05-04,73.8349,73.8349,68.9177,69.7978,376946.4326117
2017-05-05,69.3769,70.3718,68.2767,69.7021,241980.81724134
2017-05-08,70.8884,71.2615,69.7021,70.2283,235846.96682006
2017-05-09,71.2232,72.8878,69.903,70.9267,680889.8012201
2017-05-10,71.1754,71.3954,68.7837,69.8361,521411.78087719
2017-05-11,70.5057,71.185,69.0707,70.2666,300044.38052534
2017-05-12,69.3577,71.0797,69.3577,70.4388,173126.56924383
2017-05-15,70.6014,71.5772,70.6014,71.405,257236.0001057
2017-05-16,71.3954,71.5485,67.3296,69.1186,384798.76464385
2017-05-17,68.755,69.0516,67.1574,68.3437,411307.70238814
2017-05-18,68.3341,68.8698,65.7798,66.9661,318428.16160219
2017-05-19,66.8704,69.5682,66.8704,69.0516,310725.30820165
2017-05-22,68.8794,69.3386,66.5834,67.454,342215.12482417
2017-05-23,67.7314,68.0663,66.3443,66.3443,188813.46312114
2017-05-24,66.3538,67.4062,65.8755,66.0286,330046.72796765
2017-05-25,66.9565,67.3392,66.4878,66.9661,224306.79833832
2017-05-26,66.947,67.3583,66.2008,66.526,160483.6038646
2017-05-29,66.7269,67.1096,66.2008,66.9661,107297.43425232
2017-05-30,66.9661,66.9661,65.6459,66.4399,137437.76196994
2017-05-31,66.4399,67.1,65.0623,65.2441,530563.42716864
2017-06-01,65.2345,65.9999,63.4265,63.6082,280196.12698084
2017-06-02,60.0782,61.2166,59.5042,60.5565,1588711.161925
2017-06-05,60.8435,65.2441,60.8435,65.2441,1425818.1297678
2017-06-06,64.8423,65.9233,63.436,65.0815,627564.60602738
2017-06-07,65.1293,66.9661,65.0528,66.4878,1834376.6797006
2017-06-08,66.6026,66.7748,64.2874,64.4979,653176.67198206
2017-06-09,65.2632,65.6363,63.3499,63.6178,231897.80409144
2017-06-12,63.6178,64.077,60.2695,61.1592,714040.6076721
2017-06-13,61.6949,61.9819,61.0731,61.3218,369865.53575524
2017-06-14,61.5992,61.7332,59.7242,61.2261,333720.97545074
2017-06-16,61.3218,61.3696,58.7484,58.7484,674235.38885101
2017-06-19,59.5807,60.0782,57.4473,57.8778,341872.26474609
2017-06-20,58.2605,58.2605,56.0411,56.4333,616043.25303772
2017-06-21,56.395,58.9302,56.1367,58.1935,855427.53237067
2017-06-22,57.9257,59.198,56.7394,57.0934,323951.55383567
2017-06-23,57.0934,58.2605,56.969,57.9735,145073.71584305
2017-06-26,57.6961,59.0258,57.6961,58.3275,452907.71009358
2017-06-27,58.5475,59.0163,58.3562,58.4997,271008.94031543
2017-06-28,58.4997,58.7293,57.9065,57.9065,126520.5953374
2017-06-29,58.5379,58.8345,58.1648,58.4518,406969.68615633
2017-06-30,58.3562,59.0737,57.7056,59.0737,287423.36655355
2017-07-03,59.0641,59.0641,58.1648,59.0067,213505.66057366
2017-07-04,59.0067,60.1738,58.691,59.1406,732488.15236103
2017-07-05,59.1693,59.3128,58.3562,58.8536,184644.78631814
2017-07-06,58.8345,59.2746,58.4518,59.1215,444773.14568009
2017-07-07,59.1598,59.7816,58.337,59.6859,188296.03708867
2017-07-10,59.9825,59.9825,59.3128,59.7912,282517.7496437
2017-07-11,59.9729,59.9729,59.4276,59.7433,289411.53688437
2017-07-12,59.8868,59.9442,59.6477,59.772,384464.2670067
2017-07-13,59.839,59.9825,59.0354,59.3224,206128.94236934
2017-07-14,59.3128,59.5998,57.9831,58.3083,236275.54191766
2017-07-17,58.5475,58.8919,57.7056,58.2414,245531.71872073
2017-07-18,58.2414,58.6049,57.1221,57.2082,327048.79289467
2017-07-19,57.4091,57.9735,57.1316,57.6865,172572.5575323
2017-07-20,57.8491,58.3466,57.7248,57.8778,228197.42398044
2017-07-21,58.1553,58.4231,57.4952,57.8778,145409.25878532
2017-07-24,57.5908,58.1361,56.4429,56.7681,190112.77738046
2017-07-25,56.7681,58.8345,56.3759,58.5092,152587.36901758
2017-07-26,58.7388,59.4085,58.5475,59.3128,456112.61557954
2017-07-27,59.5042,59.7912,58.7484,59.3128,196088.7867292
2017-07-28,58.9302,59.5233,58.3753,59.5042,211899.02661021
2017-07-31,59.4946,61.4557,59.4946,61.3218,460524.8484746
2017-08-01,61.5036,61.7906,60.7574,60.9678,416727.60941512
2017-08-02,61.4462,61.6758,60.3651,60.3651,382009.89059409
2017-08-03,60.3651,61.1783,59.5807,59.7912,326752.97154682
2017-08-04,59.6668,61.5514,59.6668,61.3218,248316.41155002
2017-08-07,61.6853,61.6949,60.5565,60.8435,240143.17084723
2017-08-08,61.3696,61.3696,60.7,61.0348,174086.15934041
2017-08-09,61.1305,61.3027,60.7,60.9487,286568.30696858
2017-08-10,61.8862,62.7472,61.3696,61.4653,731571.41977421
2017-08-11,61.3218,61.494,60.6617,61.2261,138285.5044191
2017-08-14,61.2261,61.5992,60.2791,60.7287,105021.80501457
2017-08-16,60.3651,61.2261,59.6477,59.7912,473558.75796725
2017-08-17,59.5998,59.5998,58.4518,59.0258,190108.59615999
2017-08-18,59.3128,59.5616,58.5571,58.7484,108129.49712473
2017-08-21,58.9302,59.1885,58.6527,58.978,117839.33634819
2017-08-22,59.1215,59.9825,59.0258,59.7433,171058.95572418
