Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-11-23,52.7118,54.3625,52.7118,54.3346,1664897.9011854
2016-11-24,54.3003,54.7154,53.19,53.7313,664915.20793623
2016-11-25,53.8491,53.8491,52.5038,53.5297,803342.72824836
2016-11-28,53.3022,53.6067,52.8297,53.1556,812295.95245926
2016-11-29,53.3988,53.3988,52.8641,52.8641,831555.58222407
2016-11-30,52.8862,54.2176,52.8575,53.018,2487525.9061374
2016-12-01,53.746,53.746,52.4964,53.2604,1574973.6272974
2016-12-02,53.4742,53.6002,52.4547,52.5112,1276957.4195879
2016-12-05,52.9132,55.8257,52.9132,55.757,1801806.1456936
2016-12-06,55.7635,56.3187,55.1534,55.8257,1730976.6283924
2016-12-07,55.7905,57.0048,54.5778,56.3866,2055412.8469264
2016-12-08,55.8323,57.5108,55.2788,56.873,2178054.0657586
2016-12-09,56.5201,57.2971,56.069,56.4578,1619392.9040365
2016-12-12,57.0737,57.1219,55.3614,55.5834,1136704.0814889
2016-12-13,55.8462,57.3176,55.8118,57.2759,1546582.4660328
2016-12-14,56.8591,59.0649,56.3113,59.0649,2027968.1798323
2016-12-15,58.9463,58.9463,57.56,57.8376,1719041.0315825
2016-12-16,58.0038,59.4531,57.4904,59.0019,3150452.8656743
2016-12-19,59.6389,60.7771,58.9463,60.452,2143630.988742
2016-12-20,60.4577,60.4734,58.7857,58.7857,1427673.4874392
2016-12-21,58.9463,59.8895,58.7734,58.9463,1408589.7223977
2016-12-22,58.9463,60.3268,58.8782,59.9526,1518015.440045
2016-12-23,59.9526,60.2776,58.6278,59.6962,949509.51766764
2016-12-27,59.6389,60.1179,59.5636,59.9444,343097.41972658
2016-12-28,59.6684,59.9869,58.9463,59.0854,666425.93476052
2016-12-29,59.4595,59.896,58.6056,58.8078,996179.6186082
2016-12-30,58.9463,59.2934,58.8291,59.1542,1290016.5965742
2017-01-02,59.0166,59.5636,58.7808,59.3556,234618.19624975
2017-01-03,59.6389,59.9935,58.4967,58.7734,1738631.6289863
2017-01-04,59.0854,59.9869,57.7958,59.9869,1676202.0947873
2017-01-05,59.7167,62.1993,59.5915,61.9561,2201888.6208943
2017-01-09,61.9292,61.9292,60.8475,61.4436,1380953.3139038
2017-01-10,61.2349,62.0675,60.9507,61.2349,1315039.4598749
2017-01-11,61.2349,61.3257,59.0084,59.2655,1855833.2542247
2017-01-12,59.5374,60.8958,59.1895,59.9107,1727841.5954434
2017-01-13,59.9042,60.57,59.3,59.9869,948561.80221441
2017-01-16,59.7781,60.3128,58.8979,58.974,1215040.8241651
2017-01-17,59.2238,59.8821,58.9119,59.4326,995771.71015281
2017-01-18,59.4326,59.7298,59.1754,59.4661,1481280.474687
2017-01-19,59.4661,59.9869,59.3,59.9869,1114699.0079884
2017-01-20,59.9869,60.0083,56.1729,57.2136,4858924.9159008
2017-01-23,57.2201,57.9063,56.7338,57.0737,2192063.4007638
2017-01-24,57.3512,57.56,56.7616,57.0818,2700885.2326778
2017-01-25,57.0392,57.2889,55.9641,57.1506,2306233.8020912
2017-01-26,57.56,57.56,56.4414,56.5201,2144687.3983645
2017-01-27,56.5249,57.7745,56.3113,57.7745,1091785.3000843
2017-01-30,57.8015,57.8376,56.3866,56.3866,824150.94460428
2017-01-31,56.6584,57.0605,56.2973,56.2973,749918.93342072
2017-02-01,56.8591,57.1219,56.3661,56.7272,1130960.3884779
2017-02-02,56.8656,57.067,56.6028,56.6584,1682822.6688492
2017-02-03,56.7616,57.7671,56.5406,57.7606,1882313.1079064
2017-02-06,57.9063,58.7031,57.7401,58.7031,1513660.3455782
2017-02-07,58.5998,58.7734,57.9341,58.3846,1021677.5609183
2017-02-08,58.2666,58.3984,57.9129,58.1143,983070.369027
2017-02-09,58.4893,61.7203,58.0095,60.2644,2505977.0466882
2017-02-10,61.3527,61.3527,59.2238,59.2574,1552946.5707065
2017-02-13,59.6389,60.2506,59.2934,60.2506,586739.67458966
2017-02-14,60.2644,61.1521,59.6537,60.6043,1204295.9780858
2017-02-15,60.9573,61.9972,60.5904,61.9972,1738632.8502691
